cell_id,p_hotspot_next
3409.0_417.0,0.5987111
3574.0_452.0,0.591686
3414.0_422.0,0.5827211
3579.0_452.0,0.5777272
3549.0_372.0,0.57131755
3574.0_432.0,0.5653444
3449.0_447.0,0.56533
3649.0_197.0,0.5628507
3444.0_442.0,0.5614865
3614.0_297.0,0.55773926
3644.0_102.0,0.520572
3459.0_447.0,0.51894456
3434.0_452.0,0.5182083
3429.0_442.0,0.510199
3574.0_332.0,0.50296384
3589.0_312.0,0.502015
3414.0_407.0,0.49954253
3404.0_422.0,0.4991599
3644.0_197.0,0.4963524
3449.0_437.0,0.495688
3579.0_322.0,0.49393043
3454.0_452.0,0.49280632
3639.0_107.0,0.49130908
3449.0_442.0,0.4901811
3614.0_312.0,0.48764148
3584.0_432.0,0.48620525
3469.0_457.0,0.47946256
3419.0_382.0,0.47909737
3444.0_452.0,0.47884244
3414.0_417.0,0.4781883
3549.0_447.0,0.4726542
3429.0_387.0,0.4673832
3539.0_457.0,0.466694
3609.0_302.0,0.4646064
3569.0_442.0,0.4638326
3459.0_457.0,0.46164382
3424.0_437.0,0.46091735
3644.0_192.0,0.4585782
3434.0_427.0,0.45653522
3544.0_447.0,0.45576024
3654.0_207.0,0.45483607
3629.0_222.0,0.4542796
3434.0_447.0,0.45262337
3409.0_407.0,0.45244455
3569.0_362.0,0.45186168
3564.0_342.0,0.4489544
3574.0_447.0,0.44754997
3474.0_457.0,0.44626442
3609.0_292.0,0.444607
3444.0_447.0,0.443192
3629.0_172.0,0.44184726
3539.0_447.0,0.4414685
3639.0_102.0,0.44005877
3509.0_447.0,0.4362281
3604.0_237.0,0.43600795
3424.0_382.0,0.4333952
3429.0_447.0,0.43332237
3539.0_452.0,0.43163577
3439.0_432.0,0.4302498
3439.0_437.0,0.42469758
3629.0_197.0,0.42364207
3629.0_162.0,0.4232716
3409.0_412.0,0.4228713
3569.0_432.0,0.4228467
3569.0_342.0,0.42220888
3574.0_427.0,0.42103335
3579.0_447.0,0.4190967
3434.0_437.0,0.4181748
3544.0_372.0,0.41577515
3594.0_292.0,0.4156238
3564.0_332.0,0.41451958
3639.0_187.0,0.41316378
3614.0_207.0,0.41137466
3599.0_227.0,0.41120327
3589.0_432.0,0.41055688
3544.0_452.0,0.40908897
3424.0_442.0,0.40840882
3609.0_317.0,0.40740073
3439.0_442.0,0.4067458
3439.0_412.0,0.40526736
3579.0_457.0,0.40377444
3569.0_447.0,0.40328693
3569.0_372.0,0.4030104
3564.0_372.0,0.4012101
3544.0_457.0,0.39715102
3549.0_382.0,0.39147678
3574.0_392.0,0.39088973
3584.0_287.0,0.39088953
3439.0_457.0,0.3901961
3629.0_167.0,0.38966852
3419.0_422.0,0.3882754
3564.0_352.0,0.38630965
3639.0_97.0,0.3857322
3449.0_452.0,0.3832346
3569.0_382.0,0.38247222
3554.0_347.0,0.37851846
3429.0_452.0,0.37842706
3579.0_192.0,0.37841454
3609.0_237.0,0.37797427
3554.0_437.0,0.37789527
3414.0_427.0,0.3774416
3419.0_417.0,0.37685516
3614.0_247.0,0.3764508
3409.0_427.0,0.37389946
3569.0_452.0,0.37258098
3459.0_442.0,0.37015894
3589.0_337.0,0.36999983
3579.0_332.0,0.36915997
3564.0_242.0,0.36678526
3634.0_282.0,0.36550868
3559.0_367.0,0.36425382
3574.0_342.0,0.36423263
3619.0_252.0,0.36372486
3564.0_362.0,0.3630269
3524.0_427.0,0.36239463
3464.0_452.0,0.36195022
3469.0_452.0,0.36057046
3619.0_142.0,0.36025047
3579.0_442.0,0.36002043
3434.0_432.0,0.35943162
3604.0_302.0,0.35810658
3534.0_457.0,0.35371152
3544.0_202.0,0.35309422
3429.0_377.0,0.35173276
3574.0_372.0,0.35161158
3554.0_192.0,0.3499826
3434.0_457.0,0.34989575
3419.0_437.0,0.34931725
3544.0_192.0,0.34928513
3574.0_377.0,0.3488592
3639.0_167.0,0.3487024
3564.0_382.0,0.34755972
3429.0_427.0,0.34755382
3619.0_262.0,0.34735522
3589.0_212.0,0.34667835
3569.0_177.0,0.34624836
3549.0_457.0,0.34428555
3419.0_427.0,0.343575
3554.0_382.0,0.34279722
3414.0_397.0,0.3426039
3634.0_107.0,0.3422538
3569.0_367.0,0.34165215
3644.0_262.0,0.34147972
3584.0_337.0,0.34058943
3514.0_457.0,0.3394625
3514.0_447.0,0.33934414
3414.0_412.0,0.33799082
3589.0_452.0,0.33710366
3594.0_207.0,0.3368838
3604.0_282.0,0.33213335
3599.0_272.0,0.332034
3439.0_452.0,0.32772866
